epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8845,3.64445,4.51695,3.26533,0.00278,0.625,0.00381,0.00064,3.8368,4.11654,3.09876,0.0964,0.0004,0.0004
2,57.4035,3.65059,4.13239,3.30499,0.00259,0.58333,0.00374,0.0006,3.84097,4.0708,3.0562,0.0918822,0.00088218,0.00088218
3,84.6715,3.6256,4.0642,3.33011,0.00241,0.54167,0.00324,0.00059,3.83844,4.0428,3.04682,0.0873446,0.00134456,0.00134456
4,113.558,3.47683,4.05215,3.26881,0.00204,0.45833,0.00242,0.00048,3.81943,4.02203,3.02823,0.0827871,0.00178714,0.00178714
5,140.508,3.51391,3.98025,3.18914,0.00222,0.5,0.00308,0.00059,3.7461,3.99566,3.02751,0.0782099,0.00220992,0.00220992
6,167.258,3.54255,4.25169,3.27542,0.00222,0.5,0.0033,0.0006,3.67854,3.98915,3.0017,0.0736129,0.0026129,0.0026129
7,194.036,3.44007,4.09842,3.15835,0.00222,0.5,0.00349,0.00058,3.55443,3.9543,2.95083,0.0689961,0.00299608,0.00299608
8,220.905,3.37945,3.93482,3.20189,0.00204,0.45833,0.00288,0.00058,3.45599,3.9358,2.91989,0.0643595,0.00335946,0.00335946
9,247.52,3.45542,3.9582,3.16306,0.00204,0.45833,0.00305,0.00068,3.34583,3.91447,2.8666,0.059703,0.00370304,0.00370304
10,274.446,3.39718,4.17131,3.19418,0.00185,0.41667,0.00272,0.00065,3.29987,3.90713,2.8349,0.0550268,0.00402682,0.00402682
11,301.35,3.38658,3.82324,3.12687,0.00185,0.41667,0.00279,0.00068,3.26095,3.90877,2.82246,0.0503308,0.0043308,0.0043308
12,328.193,3.25245,4.06425,3.12309,0.00185,0.41667,0.00292,0.00071,3.21125,3.90306,2.8286,0.045615,0.00461498,0.00461498
13,355.052,3.37461,3.93624,3.13814,0.00185,0.41667,0.00313,0.00077,3.18632,3.90256,2.84125,0.0408794,0.00487936,0.00487936
14,382.064,3.34607,4.04159,3.14238,0.00185,0.41667,0.00271,0.00069,3.12977,3.91372,2.86224,0.0361239,0.00512394,0.00512394
15,408.85,3.29714,3.92984,3.1481,0.00278,0.625,0.0031,0.00086,3.07535,3.928,2.87226,0.0313487,0.00534872,0.00534872
16,435.955,3.1849,3.97559,3.05155,0.00278,0.625,0.00343,0.00084,3.03239,3.92013,2.85407,0.0265537,0.0055537,0.0055537
17,462.744,3.2833,3.89108,3.12689,0.00259,0.58333,0.00333,0.00085,3.00673,3.90371,2.84816,0.0217389,0.00573888,0.00573888
18,489.587,3.14252,3.9109,3.06839,0.00259,0.58333,0.00296,0.0008,2.99298,3.89622,2.85214,0.0169043,0.00590426,0.00590426
19,516.529,3.1943,3.96214,3.09129,0.00296,0.66667,0.00337,0.00085,2.97862,3.88514,2.85228,0.0120498,0.00604984,0.00604984
20,543.439,3.15847,3.89727,3.0395,0.00352,0.79167,0.00383,0.001,2.97753,3.87212,2.84691,0.00717562,0.00617562,0.00617562
21,570.339,3.17929,4.04318,3.05354,0.00315,0.70833,0.00351,0.00096,2.9875,3.86375,2.85915,0.00604,0.00604,0.00604
22,597.118,3.11511,3.88066,3.03024,0.00352,0.79167,0.00383,0.00096,2.98273,3.86033,2.86447,0.005842,0.005842,0.005842
23,623.552,3.09754,3.9472,2.97785,0.00352,0.79167,0.00382,0.00092,3.01779,3.857,2.88365,0.005644,0.005644,0.005644
24,650.335,3.04044,3.80312,2.99154,0.00407,0.91667,0.00431,0.00095,3.08083,3.84138,2.91438,0.005446,0.005446,0.005446
25,677.202,3.06126,3.86915,2.95151,0.00407,0.91667,0.0043,0.00096,3.0921,3.84576,2.91752,0.005248,0.005248,0.005248
26,704.306,2.9969,3.88335,2.94055,0.00426,0.95833,0.00479,0.00109,3.07979,3.8539,2.90865,0.00505,0.00505,0.00505
27,734.11,2.95283,3.85016,2.9232,0.00407,0.91667,0.00451,0.00115,3.04306,3.88734,2.89149,0.004852,0.004852,0.004852
28,763.221,2.87222,3.88782,2.89514,0.0037,0.83333,0.00666,0.00176,2.85963,3.97291,2.83299,0.004654,0.004654,0.004654
29,794.76,2.89502,3.7725,2.87886,0.00389,0.875,0.00981,0.0025,2.85223,4.01623,2.83019,0.004456,0.004456,0.004456
30,823.751,2.80867,3.92349,2.87526,0.0037,0.83333,0.01167,0.00248,2.91865,3.97515,2.82835,0.004258,0.004258,0.004258
31,851.772,2.75349,3.92197,2.83281,0.0037,0.83333,0.01008,0.00271,2.88102,4.02565,2.81195,0.00406,0.00406,0.00406
32,879.136,2.83399,3.80122,2.8072,0.00352,0.79167,0.0076,0.00189,2.8934,4.06516,2.85048,0.003862,0.003862,0.003862
33,906.829,2.80259,3.80321,2.86006,0.00352,0.79167,0.00885,0.00196,2.84826,4.0575,2.8669,0.003664,0.003664,0.003664
34,933.553,2.68224,3.84151,2.76893,0.0037,0.83333,0.01384,0.00261,2.8565,4.07687,2.83428,0.003466,0.003466,0.003466
35,960.544,2.79838,3.71125,2.8602,0.00315,0.70833,0.00958,0.00199,2.94456,4.05031,2.84088,0.003268,0.003268,0.003268
36,988.182,2.6456,3.73881,2.78928,0.0037,0.83333,0.01659,0.0049,2.87914,4.04415,2.86398,0.00307,0.00307,0.00307
